outer_fold,family,cache_hits,candidate_requests,classifier_fit_count,fit_seconds,unique_scored_subsets,wall_seconds_total_case
0,lr_search,97,3696,53985,2544.0871262371074,3599,209.22263484401628
0,task2_dt_search,162,4752,22950,1909.8438845658675,4590,209.22263484401628
1,lr_search,97,3696,53985,2606.0869480629917,3599,200.02654515905306
1,task2_dt_search,162,4752,22950,1671.5622507815715,4590,200.02654515905306
2,lr_search,97,3696,53985,2309.2810289934278,3599,149.15595667017624
2,task2_dt_search,33,2640,13035,758.7608729528729,2607,149.15595667017624
3,lr_search,33,2640,39105,1394.3449203260243,2607,135.63899359107018
3,task2_dt_search,162,4752,22950,1383.6940171415918,4590,135.63899359107018
4,lr_search,33,2640,39105,1479.7215640880167,2607,138.24849739205092
4,task2_dt_search,162,4752,22950,1348.5268399894703,4590,138.24849739205092
